date,minutes_to_reclaim,bucket
2025-10-20,10.0,≤15m
2025-10-21,5.0,≤15m
2025-10-22,10.0,≤15m
2025-10-23,5.0,≤15m
2025-10-24,15.0,≤15m
2025-10-27,15.0,≤15m
2025-10-28,35.0,30–60m
2025-10-29,35.0,30–60m
2025-10-30,20.0,15–30m
2025-10-31,5.0,≤15m
2025-11-03,65.0,60–120m
2025-11-04,260.0,120m+
2025-11-05,15.0,≤15m
2025-11-06,190.0,120m+
2025-11-07,170.0,120m+
2025-11-10,15.0,≤15m
2025-11-11,105.0,60–120m
2025-11-12,5.0,≤15m
2025-11-13,175.0,120m+
2025-11-14,55.0,30–60m
2025-11-17,5.0,≤15m
2025-11-18,105.0,60–120m
2025-11-19,5.0,≤15m
2025-11-20,130.0,120m+
2025-11-21,15.0,≤15m
2025-11-24,40.0,30–60m
2025-11-25,15.0,≤15m
2025-11-26,5.0,≤15m
2025-11-28,35.0,30–60m
2025-12-01,80.0,60–120m
2025-12-02,15.0,≤15m
2025-12-03,30.0,15–30m
2025-12-04,5.0,≤15m
2025-12-05,55.0,30–60m
2025-12-08,5.0,≤15m
2025-12-09,95.0,60–120m
2025-12-10,25.0,15–30m
2025-12-11,45.0,30–60m
2025-12-12,5.0,≤15m
2025-12-15,40.0,30–60m
2025-12-16,25.0,15–30m
2025-12-17,20.0,15–30m
2025-12-18,40.0,30–60m
2025-12-19,5.0,≤15m
2025-12-22,5.0,≤15m
2025-12-23,15.0,≤15m
2025-12-26,20.0,15–30m
2025-12-29,200.0,120m+
2025-12-30,15.0,≤15m
2025-12-31,140.0,120m+
2026-01-02,30.0,15–30m
2026-01-05,10.0,≤15m
2026-01-06,30.0,15–30m
2026-01-07,5.0,≤15m
2026-01-08,35.0,30–60m
2026-01-09,5.0,≤15m
2026-01-12,80.0,60–120m
2026-01-13,90.0,60–120m
2026-01-14,110.0,60–120m
2026-01-15,15.0,≤15m
