date,minutes_to_reclaim,bucket
2025-01-17,10.0,≤15m
2025-01-21,5.0,≤15m
2025-01-22,5.0,≤15m
2025-01-23,70.0,60–120m
2025-01-24,5.0,≤15m
2025-01-27,175.0,120m+
2025-01-28,5.0,≤15m
2025-01-29,35.0,30–60m
2025-01-30,10.0,≤15m
2025-01-31,15.0,≤15m
2025-02-03,55.0,30–60m
2025-02-04,20.0,15–30m
2025-02-05,55.0,30–60m
2025-02-06,15.0,≤15m
2025-02-07,165.0,120m+
2025-02-10,5.0,≤15m
2025-02-11,55.0,30–60m
2025-02-12,65.0,60–120m
2025-02-13,10.0,≤15m
2025-02-14,40.0,30–60m
2025-02-18,15.0,≤15m
2025-02-19,15.0,≤15m
2025-02-20,155.0,120m+
2025-02-21,125.0,120m+
2025-02-24,90.0,60–120m
2025-02-25,140.0,120m+
2025-02-26,15.0,≤15m
2025-02-27,20.0,15–30m
2025-02-28,35.0,30–60m
2025-03-03,5.0,≤15m
2025-03-04,130.0,120m+
2025-03-05,35.0,30–60m
2025-03-06,65.0,60–120m
2025-03-07,5.0,≤15m
2025-03-10,180.0,120m+
2025-03-11,5.0,≤15m
2025-03-12,10.0,≤15m
2025-03-13,45.0,30–60m
2025-03-14,5.0,≤15m
2025-03-17,10.0,≤15m
2025-03-18,160.0,120m+
2025-03-19,10.0,≤15m
2025-03-20,30.0,15–30m
2025-03-21,85.0,60–120m
2025-03-24,5.0,≤15m
2025-03-25,10.0,≤15m
2025-03-26,280.0,120m+
2025-03-27,20.0,15–30m
2025-03-28,275.0,120m+
2025-03-31,60.0,30–60m
2025-04-01,15.0,≤15m
2025-04-02,15.0,≤15m
2025-04-03,130.0,120m+
2025-04-04,100.0,60–120m
2025-04-07,40.0,30–60m
2025-04-08,5.0,≤15m
2025-04-09,5.0,≤15m
2025-04-10,205.0,120m+
2025-04-11,5.0,≤15m
2025-04-14,5.0,≤15m
2025-04-15,5.0,≤15m
2025-04-16,110.0,60–120m
2025-04-17,50.0,30–60m
2025-04-21,300.0,120m+
2025-04-22,60.0,30–60m
2025-04-23,100.0,60–120m
2025-04-24,15.0,≤15m
2025-04-25,20.0,15–30m
2025-04-28,5.0,≤15m
2025-04-29,10.0,≤15m
2025-04-30,90.0,60–120m
2025-05-01,70.0,60–120m
2025-05-02,5.0,≤15m
2025-05-05,70.0,60–120m
2025-05-06,60.0,30–60m
2025-05-07,5.0,≤15m
2025-05-08,15.0,≤15m
2025-05-09,35.0,30–60m
2025-05-12,10.0,≤15m
2025-05-13,5.0,≤15m
2025-05-14,70.0,60–120m
2025-05-15,30.0,15–30m
2025-05-16,20.0,15–30m
2025-05-19,35.0,30–60m
2025-05-20,65.0,60–120m
2025-05-21,85.0,60–120m
