Date,Close_930,VWAP_930,Gap_Pct,Gap_Bucket,Volume,Dir_930,Dir_945,Vol_Spike
2025-10-06,670.3200073242188,670.6766764322916,,Large (>0.5%),6105667,Bear,Bear,Normal Volume
2025-10-07,672.6099853515625,672.5999959309896,0.14294066426511567,Small (<0.2%),4787675,Bull,Bear,Normal Volume
2025-10-08,669.72998046875,669.8602905273438,0.16738079431718944,Small (<0.2%),5013410,Bear,Bull,Normal Volume
2025-10-09,672.719970703125,673.1066487630209,0.07281161380154161,Small (<0.2%),5095279,Bear,Bear,Normal Volume
2025-10-10,673.5599975585938,673.0233357747396,0.1400501255958905,Small (<0.2%),5181007,Bull,Bear,Normal Volume
2025-10-13,661.0900268554688,660.8533325195312,1.154482281945402,Large (>0.5%),11382730,Bull,Bull,Normal Volume
2025-10-14,653.760009765625,654.8233235677084,-0.8868117021440134,Large (>0.5%),9382898,Bear,Bull,Normal Volume
2025-10-15,667.1900024414062,667.0149943033854,0.6976736683814946,Large (>0.5%),7374165,Bull,Bull,Normal Volume
2025-10-16,667.2899780273438,667.0033365885416,0.26162118687441327,Medium (0.2–0.5%),5553189,Bull,Bear,Normal Volume
2025-10-17,658.6500244140625,659.413330078125,-0.17709036893164776,Small (<0.2%),12138893,Bear,Bull,Normal Volume
2025-10-20,668.6900024414062,668.3603312174479,0.4515895903968856,Medium (0.2–0.5%),5907085,Bull,Bull,Normal Volume
2025-10-21,671.1500244140625,671.2100219726562,0.026814151470768485,Small (<0.2%),4267344,Bear,Bear,Normal Volume
2025-10-22,671.7899780273438,671.413330078125,0.11173184357541899,Small (<0.2%),4084177,Bull,Bear,Normal Volume
2025-10-23,669.5349731445312,668.9566446940104,0.04642002361855189,Small (<0.2%),4396502,Bull,Bull,Normal Volume
2025-10-24,677.3400268554688,676.9133504231771,0.7221507611377962,Large (>0.5%),7308127,Bull,Bear,Normal Volume
2025-10-27,682.75,682.6849975585938,0.8299973769061374,Large (>0.5%),6509799,Bull,Bull,Normal Volume
2025-10-28,685.97998046875,686.35498046875,0.27145541308763566,Medium (0.2–0.5%),5194725,Bear,Bear,Normal Volume
2025-10-29,689.22998046875,688.8800048828125,0.2532810684217821,Medium (0.2–0.5%),5360115,Bull,Bull,Normal Volume
2025-10-30,682.4299926757812,682.57666015625,-0.4946840447100954,Medium (0.2–0.5%),8087769,Bear,Bull,Normal Volume
2025-10-31,683.2949829101562,683.7916666666666,0.7456222396080365,Large (>0.5%),6497186,Bear,Bull,Normal Volume
2025-11-03,683.1699829101562,683.989990234375,0.5418098106963651,Large (>0.5%),6472607,Bear,Bear,Normal Volume
2025-11-04,676.9949951171875,676.2783203125,-1.0594849627626137,Large (>0.5%),9145917,Bull,Bull,Normal Volume
2025-11-05,674.4600219726562,674.6564737955729,-0.053313349187253854,Small (<0.2%),5680510,Bear,Bull,Normal Volume
2025-11-06,675.97998046875,676.3516642252604,-0.15203384455719557,Small (<0.2%),4952559,Bear,Bear,Normal Volume
2025-11-07,665.4302978515625,665.9200846354166,-0.34763922233720645,Medium (0.2–0.5%),9918038,Bear,Bull,Normal Volume
2025-11-10,678.77001953125,678.2966918945312,0.9412452456721504,Large (>0.5%),8619513,Bull,Bear,Normal Volume
2025-11-11,680.0468139648438,680.1022745768229,-0.20107953714260476,Medium (0.2–0.5%),3744847,Bear,Bull,Normal Volume
2025-11-12,684.1599731445312,684.3516642252604,0.28116375355264533,Medium (0.2–0.5%),4447167,Bear,Bear,Normal Volume
2025-11-13,677.77001953125,678.723347981771,-0.4075858908054987,Medium (0.2–0.5%),6369349,Bear,Bull,Normal Volume
